trecho_id,decliv_media_pct,decliv_max_pct,frac_plana,frac_ingreme,decliv_media_graus
RO-ARQ-0384,4.43,9.85,0.25,0.167,2.54
RO-ARQ-0385,3.23,8.66,0.222,0.037,1.85
RO-ARQ-0386,3.02,3.95,0.133,0.0,1.73
RO-ARQ-0387,2.51,4.4,0.4,0.0,1.44
RO-ARQ-0388,2.31,3.41,0.571,0.0,1.33
RO-ARQ-0389,4.8,7.1,0.0,0.0,2.75
RO-ARQ-0390,2.9,4.37,0.0,0.0,1.66
RO-ARQ-0391,1.71,2.32,0.625,0.0,0.98
RO-ARQ-0392,6.56,11.24,0.0,0.333,3.75
RO-ARQ-0393,1.36,3.27,0.818,0.0,0.78
RO-ARQ-0394,2.12,4.4,0.522,0.0,1.22
RO-ARQ-0395,1.29,2.4,0.833,0.0,0.74
RO-ARQ-0396,1.47,2.62,0.812,0.0,0.84
RO-ARQ-0397,2.73,4.73,0.429,0.0,1.56
RO-ARQ-0398,1.52,3.0,0.778,0.0,0.87
RO-ARQ-0399,2.57,3.84,0.25,0.0,1.47
RO-ARQ-0400,3.09,6.25,0.25,0.0,1.77
RO-ARQ-0401,5.39,6.35,0.0,0.0,3.09
RO-ARQ-0402,3.04,4.93,0.083,0.0,1.74
RO-ARQ-0403,5.11,9.57,0.0,0.167,2.92
RO-ARQ-0404,2.16,3.09,0.375,0.0,1.24
RO-ARQ-0405,4.1,7.44,0.088,0.0,2.35
RO-ARQ-0406,4.71,10.24,0.062,0.031,2.69
RO-ARQ-0407,1.98,3.58,0.6,0.0,1.13
RO-ARQ-0408,3.75,9.37,0.25,0.038,2.15
RO-ARQ-0409,3.7,6.59,0.151,0.0,2.12
RO-ARQ-0410,2.72,3.43,0.111,0.0,1.56
RO-ARQ-0411,1.65,3.48,0.706,0.0,0.94
RO-ARQ-0412,2.51,3.69,0.385,0.0,1.44
RO-ARQ-0413,3.13,5.27,0.25,0.0,1.79
RO-ARQ-0414,3.16,5.39,0.214,0.0,1.81
RO-ARQ-0415,3.49,11.24,0.31,0.048,2.0
RO-ARQ-0416,1.97,2.89,0.462,0.0,1.13
RO-ARQ-0417,3.82,13.72,0.347,0.102,2.19
RO-ARQ-0418,3.11,8.44,0.306,0.041,1.78
RO-ARQ-0419,2.06,5.03,0.585,0.0,1.18
RO-ARQ-0420,3.57,5.47,0.0,0.0,2.04
RO-ARQ-0421,3.18,10.33,0.242,0.032,1.82
RO-ARQ-0422,3.26,10.28,0.303,0.091,1.87
RO-ARQ-0423,2.63,5.09,0.286,0.0,1.51
RO-ARQ-0424,3.01,6.97,0.283,0.0,1.73
RO-ARQ-0425,4.2,5.92,0.059,0.0,2.41
RO-ARQ-0426,3.87,6.63,0.25,0.0,2.21
RO-ARQ-0427,4.48,18.54,0.283,0.094,2.56
RO-ARQ-0428,3.12,8.57,0.2,0.029,1.79
RO-ARQ-0429,8.76,20.2,0.097,0.516,5.0
RO-ARQ-0430,5.44,7.76,0.0,0.0,3.12
RO-ARQ-0431,2.45,5.12,0.382,0.0,1.4
RO-ARQ-0432,1.56,3.81,0.667,0.0,0.89
